"Codigo","Nome","Tipo","Descricao","Peso","Economia","Limite","Raridade","Mercado","Unico","Excluivel","Imagem","ImagemExiste","ReferenciasLua","Gerado"
"dompeidon","Dom Peidon","Consumível","Comprimido de efeito moderado, indicado para recuperacao gradual da saude.","0.15","110","5","","true","false","false","dompeidon.png","false","2","false"
"donut","Rosquinha","Consumível","","0.25","15","2","","true","false","false","donut.png","true","4","false"
"drugs_bench","Mesa de Produção","Consumível","Mesa para fabricação de <common>Drogas</common>.","7.25","50000","","epic","true","false","false","drugs_bench.png","true","2","false"
"electroniccomponents","Componentes Eletrônicos","Comum","","0.35","375","","","false","false","false","electroniccomponents.png","true","5","false"
"emerald_pure","Esmeralda Lapidada","Comum","","0.5","75","","","true","false","false","emerald_pure.png","true","3","false"
"emptybottle","Garrafa Vazia","Comum","","0.15","15","","","false","false","false","emptybottle.png","true","7","false"
"emptypurifiedwater","Galão de Água Vazio","Comum","Prático para transporte e armazenamento, ideal para reutilização ou descarte responsável.","0.75","1275","","","true","false","false","emptypurifiedwater.png","true","3","false"
"encryptedkey","Chave Criptografada","Consumível","","3.5","","","","true","false","false","encryptedkey.png","true","1","false"
"explosives","Explosivos","Comum","","0.45","225","","","false","false","false","explosives.png","true","5","false"
"fabric","Tecido","Comum","","0.001","","","","false","false","false","fabric.png","true","5","false"
"fishfillet","Filé de Peixe","Comum","","0.05","10","","","true","false","false","fishfillet.png","true","3","false"
"fishingrod","Vara de Madeira","Consumível","Companheira ideal para os amantes da pesca, seja em água doce ou salgada, com sua construção leve e resistente, proporciona equilíbrio perfeito e sensibilidade para detectar até os mais sutis movimentos dos peixes, seja para pescadores iniciantes ou experientes, esta vara é a escolha confiável para horas de diversão e sucesso nas pescarias.","2.75","575","","","true","false","false","fishingrod.png","true","4","false"
"fishingrod2","Vara de Grafite","Consumível","Companheira ideal para os amantes da pesca, seja em água doce ou salgada, com sua construção leve e resistente, proporciona equilíbrio perfeito e sensibilidade para detectar até os mais sutis movimentos dos peixes, seja para pescadores iniciantes ou experientes, esta vara é a escolha confiável para horas de diversão e sucesso nas pescarias.","2.75","875","","","true","false","false","fishingrod2.png","true","1","false"
"fishingrod3","Vara de Fibra","Consumível","Companheira ideal para os amantes da pesca, seja em água doce ou salgada, com sua construção leve e resistente, proporciona equilíbrio perfeito e sensibilidade para detectar até os mais sutis movimentos dos peixes, seja para pescadores iniciantes ou experientes, esta vara é a escolha confiável para horas de diversão e sucesso nas pescarias.","2.75","1275","","","true","false","false","fishingrod3.png","true","1","false"
"fishingrod4","Vara de Carbono","Consumível","Companheira ideal para os amantes da pesca, seja em água doce ou salgada, com sua construção leve e resistente, proporciona equilíbrio perfeito e sensibilidade para detectar até os mais sutis movimentos dos peixes, seja para pescadores iniciantes ou experientes, esta vara é a escolha confiável para horas de diversão e sucesso nas pescarias.","2.75","1925","","","true","false","false","fishingrod4.png","true","1","false"
"fishingrodplus","Vara de Pescar ++","Consumível","Companheira ideal para os amantes da pesca, seja em água doce ou salgada, com sua construção leve e resistente, proporciona equilíbrio perfeito e sensibilidade para detectar até os mais sutis movimentos dos peixes, seja para pescadores iniciantes ou experientes, esta vara é a escolha confiável para horas de diversão e sucesso nas pescarias.","2.75","50000","","legendary","false","false","true","fishingrod.png","true","2","false"
"fries","Fritas","Consumível","","0.25","20","2","","true","false","false","fries.png","true","3","false"
"furniture_browncloset","Guarda-Roupas Duas Portas","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","epic","false","false","false","furniture_browncloset.png","true","0","true"
"furniture_goldenbox","Cofre Executivo","Consumivel","Este objeto pode ser posicionado dentro de propriedades, permitindo guardar <legendary>2500KG</legendary> dentro de seu compartimento.","2","","","legendary","false","false","true","furniture_goldenbox.png","true","1","true"
"furniture_halloween_ghost","Fantasma de Halloween","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_halloween_ghost.png","false","0","true"
"furniture_halloween_pumpkin","Abóbora de Halloween","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_halloween_pumpkin.png","false","0","true"
"furniture_industrialbox","Cofre Industrial","Consumivel","Este objeto pode ser posicionado dentro de propriedades, permitindo guardar <legendary>1000KG</legendary> dentro de seu compartimento.","2","","","epic","false","false","true","furniture_industrialbox.png","true","1","true"
"furniture_largebed","Cama","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_largebed.png","true","0","true"
"furniture_officebox","Cofre Blindado","Consumivel","Este objeto pode ser posicionado dentro de propriedades, permitindo guardar <legendary>500KG</legendary> dentro de seu compartimento.","2","","","epic","false","false","true","furniture_officebox.png","true","1","true"
"furniture_ornamentbox","Cofre Corporativo","Consumivel","Este objeto pode ser posicionado dentro de propriedades, permitindo guardar <legendary>1500KG</legendary> dentro de seu compartimento.","2","","","legendary","false","false","true","furniture_ornamentbox.png","true","1","true"
"furniture_pack_bathcab","Armário de Banheiro","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_bathcab.png","true","0","true"
"furniture_pack_cabinet","Armário Quatro Portas","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_cabinet.png","true","0","true"
"furniture_pack_cabinet_2","Hack de Televisão","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_cabinet_2.png","true","0","true"
"furniture_pack_cabinet_3","Guarda-Roupas Antigo","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_cabinet_3.png","true","0","true"
"furniture_pack_chair_1","Cadeira de Madeira","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_chair_1.png","true","0","true"
"furniture_pack_chair_2","Cadeira de Couro","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_chair_2.png","true","0","true"
"furniture_pack_dresser","Cômoda de Madeira","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_dresser.png","true","0","true"
"furniture_pack_sofa","Sofá de Courino","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_sofa.png","true","0","true"
"furniture_pack_table","Mesa de Madeira","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_table.png","true","0","true"
"furniture_pack_table_1","Mesa de Escritório","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_table_1.png","true","0","true"
"furniture_pack_table_2","Mesa de Jantar","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_table_2.png","true","0","true"
"furniture_pack_wall","Divisor de Ambiente","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_wall.png","true","0","true"
"furniture_pack_wardrobe_1","Guarda-Roupas Quatro Portas","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_wardrobe_1.png","true","0","true"
"furniture_pack_wardrobe_2","Guarda-Roupas Seis Portas","Consumivel","Objeto posicionavel dentro de propriedades.","2","","","common","false","false","false","furniture_pack_wardrobe_2.png","true","0","true"
"furniture_safebox","Cofre Reforçado","Consumivel","Este objeto pode ser posicionado dentro de propriedades, permitindo guardar <legendary>200KG</legendary> dentro de seu compartimento.","2","","","rare","false","false","true","furniture_safebox.png","true","1","true"
"furniture_simplebox","Cofre Básico","Consumivel","Este objeto pode ser posicionado dentro de propriedades, permitindo guardar <legendary>100KG</legendary> dentro de seu compartimento.","2","","","common","false","false","true","furniture_simplebox.png","true","1","true"
"GADGET_PARACHUTE","Paraquedas","Consumível","Lembrando que após <common>desconectar</common> da cidade o mesmo é removido.","2.25","225","2","","true","false","false","parachute.png","true","4","false"
"gauze","Ataduras","Consumível","","0.25","125","","","true","false","false","gauze.png","true","25","false"
"gdtkit","Kit Químico","Consumível","","0.75","25","","","true","false","false","gdtkit.png","true","4","false"
"gear","Engrenagem","Comum","","0.75","125","","","false","false","false","gear.png","true","0","false"
"gemstone","Diamante","Consumível","","0","20","","legendary","false","false","true","gemstone.png","true","30","false"
"glass","Vidro","Comum","","0.045","8","","","false","false","false","glass.png","true","80","false"
"gold_pure","Barra de Ouro","Comum","","0.5","50","","","true","false","false","gold_pure.png","true","4","false"
"goldenjug","Jarro de Ouro","Comum","","7.25","6775","","","false","false","false","goldenjug.png","true","8","false"
"goldenleopard","Leopardo de Ouro","Comum","","8.75","8225","","","false","false","false","goldenleopard.png","true","7","false"
"goldenlion","Leão de Ouro","Comum","","10.25","12225","","","false","false","false","goldenlion.png","true","7","false"
"goldnecklace","Colar de Ouro","Comum","","0.45","625","","","false","false","false","goldnecklace.png","true","10","false"
"grapejuice","Suco de Uva","Consumível","","0.75","125","3","","true","false","false","grapejuice.png","true","2","false"
"green_essence","Essência Verde","Comum","Componente químico utilizado em experimentos, possui propriedades energéticas únicas que alimentam dispositivos experimentais, aprimoram armas modificadas ou são vendidas por um bom dinheiro.","0","","","","false","false","true","green_essence.png","true","5","false"
"gsrkit","Kit Residual","Consumível","","0.75","25","","","true","false","false","gsrkit.png","true","3","false"
"gunpowder","Frasco de Pólvora","Comum","","0.1","125","","","false","false","false","gunpowder.png","true","8","false"
"halloween_ghost","Fantasma de Halloween","Consumível","Um enfeite para sua propriedade com a temática de halloween.","5","","","legendary","false","false","false","halloween_ghost.png","false","0","false"
"halloween_pumpkin","Abóbora de Halloween","Consumível","Um enfeite para sua propriedade com a temática de halloween.","5","","","legendary","false","false","false","halloween_pumpkin.png","false","0","false"
"hamburger","Hambúrguer","Consumível","","0.55","25","2","","true","false","false","hamburger.png","true","6","false"
"hamburger2","Hambúrguer Artesanal","Consumível","","0.75","125","3","","true","false","false","hamburger2.png","true","4","false"
"hamburger3","Hambúrguer Vegetariano","Consumível","","0.75","125","3","","true","false","false","hamburger3.png","true","4","false"
"handcuff","Algemas","Consumível","","1.25","1225","","","true","false","false","handcuff.png","true","7","false"
"heavygunparts","Peças de Arma Pesada","Comum","","2.75","2125","","","true","false","false","heavygunparts.png","true","1","false"
"heroin","Seringa de Heroína","Consumível","","0.25","525","","","true","false","false","heroin.png","true","5","false"
"herring","Arenque","Comum","","0.5","80","","","true","false","false","herring.png","true","4","false"
"hood","Capuz","Consumível","","1.75","1225","","","true","false","false","hood.png","true","5","false"
"horsefigurine","Estatueta de Cavalo","Comum","","1.25","2425","","","false","false","false","horsefigurine.png","true","4","false"
"hotdog","Cachorro-Quente","Consumível","","0.45","20","2","","true","false","false","hotdog.png","true","5","false"
"identity","Passaporte","Comum","","0","","","","true","false","true","identity.png","true","42","false"
"instagram","Seguidores InstaPic","Consumível","Adiciona 100 seguidores no instapic.","0","80000","","legendary","false","false","true","instagram.png","true","186","false"
"insulatingtape","Fita Isolante","Comum","","0.15","55","","","false","false","false","insulatingtape.png","true","14","false"
"iron_pure","Barra de Ferro","Comum","","0.5","45","","","true","false","false","iron_pure.png","true","4","false"
"ironfilings","Limalha de Ferro","Comum","","0.001","","","","true","false","false","ironfilings.png","true","2","false"
"joint","Cigarro de Cannabis","Consumível","","0.25","25","","","true","false","false","joint.png","true","10","false"
"latex","Frasco de Látex","Comum","","1.25","175","","","false","false","false","latex.png","true","2","false"
"lead_pure","Barra de Chumbo","Comum","","0.5","40","","","true","false","false","lead_pure.png","true","4","false"
"legendarykey","Chave da Fortuna","Comum","Projetada para ser encontrada e utilizada como parte da progressão na história ou na resolução de um enigma, adicionando um elemento de interatividade e imersão à experiência.","0.25","4225","","legendary","true","false","false","legendarykey.png","true","1","false"
"lemonjuice","Suco de Limão","Consumível","","0.75","125","3","","true","false","false","lemonjuice.png","true","2","false"
"lighter","Isqueiro","Comum","","0.55","225","","","false","false","false","lighter.png","true","8","false"
"lightgunparts","Peças de Arma Leve","Comum","","1.75","625","","","true","false","false","lightgunparts.png","true","1","false"
"lockpick","Gazua","Consumível","Ferramenta fina e flexível, frequentemente feita de metal, usada para abrir fechaduras sem a chave correspondente, é uma ferramenta comum entre profissionais de segurança e em situações de emergência.","1.25","725","","","true","false","false","lockpick.png","true","10","false"
"lockpickplus","Gazua ++","Comum","Ferramenta fina e flexível, frequentemente feita de metal, usada para abrir fechaduras sem a chave correspondente, é uma ferramenta comum entre profissionais de segurança e em situações de emergência.","1.25","50000","","legendary","false","false","true","lockpickplus.png","true","3","false"
"mapgps","Mapa Adaptativo","Consumível","Um dispositivo inteligente que, ao ser utilizado, ativa o gps no canto da tela, permitindo ao usuário visualizar melhor o terreno ao redor, rotas e a localização de pontos importantes. Ideal para navegação em áreas desconhecidas ou para ganhar vantagem tática em missões.","0","50000","","legendary","false","false","true","mapgps.png","false","1","false"
"markers","Receptor de Sinal","Consumível","Dispositivo clandestino de rastreamento pessoal, utilizado em operações criminosas, que ao ser instalado transmite sua localização em tempo real para o GPS de todos os membros do grupo selecionado que possuírem um receptor compatível.<br>Possui duração ativa de 5 dias, pode ser removido ou roubado por terceiros e é indicado para perseguições prolongadas, monitoramento estratégico e emboscadas coordenadas.","0.75","","","","false","false","false","markers.png","true","53","false"
"mayonnaise","Pote de Maionese","Comum","","0.45","20","","","true","false","false","mayonnaise.png","true","3","false"
"meatfillet","Filé de Carne","Comum","","0.05","10","","","true","false","false","meatfillet.png","true","3","false"
"mechanicbag","Caixa de Ferramentas","Consumível","Projetada para armazenamento seguro e organizado de ferramentas, garantindo acessibilidade e segurança no ambiente de manutenção.","5","4275","","","true","true","false","mechanicbag.png","false","3","false"
"medicalkey","Chave da Aurora","Comum","Projetada para ser encontrada e utilizada como parte da progressão na história ou na resolução de um enigma, adicionando um elemento de interatividade e imersão à experiência.","0.25","675","","rare","true","false","false","medicalkey.png","true","2","false"
"medicbag","Caixa de Medicamentos","Consumível","Projetada para armazenamento seguro e organizado de medicamentos, garantindo acessibilidade e segurança no ambiente de saúde.","2.5","1275","","rare","true","true","false","medicbag.png","true","4","false"
"mediumgunparts","Peças de Arma Média","Comum","","2.25","1250","","","true","false","false","mediumgunparts.png","true","1","false"
"medkit","Kit de Primeiros Socorros","Consumível","","0.75","575","1","","true","false","false","medkit.png","true","9","false"
"metadone","Seringa de Metadona","Consumível","","0.25","475","","","true","false","false","metadone.png","true","5","false"
"metalspring","Mola de Metal","Comum","","0.35","425","","","false","false","false","metalspring.png","true","33","false"
"meteoulate","Mete ou Late","Consumível","Comprimido forte, recupera uma boa quantidade de vida.","0.15","195","5","","true","false","false","meteoulate.png","true","2","false"
"meth","Metanfetamina","Consumível","","0.25","25","","","true","false","false","meth.png","true","25","false"
"methsack","Pacote de Metanfetamina","Comum","","2.5","250","","","true","false","false","methsack.png","true","2","false"
"milkbottle","Garrafa de Leite","Comum","","0.35","35","","","true","false","false","milkbottle.png","true","10","false"
"milkshake","Milk-shake","Consumível","","0.85","75","3","","true","false","false","milkshake.png","true","4","false"
"moneywash","Máquina de Lavar","Consumível","Compacta e discreta que transforma dinheiro molhado em dinheiro limpo e pronto para uso, seja para jogos ou necessidades do dia a dia, esta máquina é a solução perfeita para lavagem de dinheiro de forma rápida e eficiente.<br><br><common>Lavagem diária: $250.000</common>","50","","","common","true","false","false","moneywash.png","true","60","false"
"moneywashalpha","Máquina de Lavar","Consumível","Compacta e discreta que transforma dinheiro molhado em dinheiro limpo e pronto para uso, seja para jogos ou necessidades do dia a dia, esta máquina é a solução perfeita para lavagem de dinheiro de forma rápida e eficiente.<br><br><epic>Lavagem diária: $1.000.000</epic>","50","","","epic","true","false","false","moneywash.png","true","2","false"
